# 資料庫版本: 2019-02-21
編號	頁	行	部首	字組	字	反切上字	反切下字	反切上字字組	反切下字字組	聲母	韻母	聲系	調型	字條註	經校訂修正	校訂註
1	1	3	一	一	一	英	不	英由	申忍艮不	y	a't	上	入			
2	1	3	一	丁	丁	丁	丁	丁大	丁丙正息	t	ing	上	平			
3	1	3	一	丁	汀	丁	丁	丁大	丁丙正息	t	ing	上	平			
4	1	3	一	丁	疔	丁	丁	丁大	丁丙正息	t	ing	上	平			
5	1	3	一	丁	釘	丁	丁	丁大	丁丙正息	t	ing	上	平			
6	1	3	一	丁	叮	丁	丁	丁大	丁丙正息	t	ing	上	平			
7	1	3	一	丁	釘	丁	正	丁大	丁丙正息	t	ing	上	去			
8	1	3	一	丁	訂	丁	正	丁大	丁丙正息	t	ing	上	去			
9	1	3	一	丁	頂	丁	丙	丁大	丁丙正息	t	ing	上	上			
10	1	3	一	丁	打	丁	也	丁大	加也亞○	t	a[r]	上	上			
11	1	3	一	丂	丂	可	卯	可下	交卯教○	h	aou	上	上			
12	1	3	一	丂	攷	可	卯	可下	交卯教○	h	aou	上	上			
13	1	3	一	丂	巧	可	卯	可下	交卯教○	h	aou	上	上			
14	1	3	一	丂	朽	英	九	英由	由九又○	y	ow	上	上			
15	1	4	一	七	七	七	不	七前	申忍艮不	ts'	a't	上	入			
16	1	4	一	七	叱	丑	息	丑長	丁丙正息	ch'	ik	上	入			
17	1	4	一	丈	丈	杖	上	之杖	章兩上約	ch	eong	下	去			
18	1	4	一	丈	仗	杖	上	之杖	章兩上約	ch	eong	下	去			
19	1	4	一	丈	杖	杖	上	之杖	章兩上約	ch	eong	下	去			
20	1	4	一	三	三	心	監	心士	監斬鑑甲	s	am	上	平			
21	1	4	一	三	三	心	鑑	心士	監斬鑑甲	s	am	上	去			
22	1	4	一	上	上	時	上	審時	章兩上約	s'	eong	下	去			
23	1	4	一	上	上	時	兩	審時	章兩上約	s'	eong	下	上			
24	1	4	一	下	下	下	也	可下	加也亞○	h	a[r]	下	上			
25	1	4	一	下	下	下	亞	可下	加也亞○	h	a[r]	下	去			
26	1	4	一	不	不	丙	不	丙並	申忍艮不	p	a't	上	入			
27	1	4	一	不	抔	非	由	非扶	由九又○	f	ow	上	平			
28	1	5	一	不	杯	丙	回	丙並	回每罪○	p	ooey	上	平			
29	1	5	一	不	盃	丙	回	丙並	回每罪○	p	ooey	上	平			
30	1	5	一	丏	丏	明	典	乜明	天典見別	m	een	下	上			
31	1	5	一	丏	麪	明	見	乜明	天典見別	m	een	下	去			
32	1	5	一	丐	丐	啟	代	啟其	哀宰代○	k'	oy	上	去			
33	1	5	一	丑	丑	丑	九	丑長	由九又○	ch'	ow	上	上			
34	1	5	一	丑	扭	拈	九	拈尼	由九又○	n	ow	上	上			
35	1	5	一	丑	狃	拈	九	拈尼	由九又○	n	ow	上	上			
36	1	5	一	丑	紐	拈	九	拈尼	由九又○	n	ow	上	上			
37	1	5	一	丑	鈕	拈	九	拈尼	由九又○	n	ow	上	上			
38	1	5	一	丑	忸	拈	卜	拈尼	中總動卜	n	uk	上	入			
39	1	5	一	且	且	七	者	七前	耶者夜○	ts'	ěa	上	上			
40	1	5	一	且	雎	則	須	則在	須取序○	ts	üy	上	平			據錯遺備考#1補上
41	1	5	一	且	苴	則	於	則在	於語去○	ts	ü	上	平			
