# 資料庫版本: 2020-07-26
序號	頁	部號	層號	音號	部層名	音名	九聲本位	字	組合字	部層代表字	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼	字條註	經校訂修正	校訂註
1	1	宮	1	1	宮部第1層	一輕內牙音	1	恭		Y	g	ung	1	1	gung1			
2	1	宮	1	1	宮部第1層	一輕內牙音	1	公			g	ung	1	1	gung1			
3	1	宮	1	1	宮部第1層	一輕內牙音	1	工			g	ung	1	1	gung1			
4	1	宮	1	1	宮部第1層	一輕內牙音	1	功			g	ung	1	1	gung1			
5	1	宮	1	1	宮部第1層	一輕內牙音	1	攻			g	ung	1	1	gung1			
6	1	宮	1	1	宮部第1層	一輕內牙音	1	紅			g	ung	1	1	gung1			
7	1	宮	1	1	宮部第1層	一輕內牙音	1	弓			g	ung	1	1	gung1			
8	1	宮	1	1	宮部第1層	一輕內牙音	1	芎			g	ung	1	1	gung1			
9	1	宮	1	1	宮部第1層	一輕內牙音	1	躬			g	ung	1	1	gung1			
10	1	宮	1	1	宮部第1層	一輕內牙音	1	宮			g	ung	1	1	gung1			
11	1	宮	1	1	宮部第1層	一輕內牙音	1	供			g	ung	1	1	gung1			
12	1	宮	1	1	宮部第1層	一輕內牙音	1	龔			g	ung	1	1	gung1			
13	1	宮	1	1	宮部第1層	一輕內牙音	2	拱			g	ung	2	2	gung2			
14	1	宮	1	1	宮部第1層	一輕內牙音	2	鞏			g	ung	2	2	gung2			
15	1	宮	1	1	宮部第1層	一輕內牙音	3	貢			g	ung	3	3	gung3			
16	1	宮	1	1	宮部第1層	一輕內牙音	3	灨			g	ung	3	3	gung3			
17	1	宮	1	1	宮部第1層	一輕內牙音	4	谷			g	uk	1	7	guk1			
18	1	宮	1	1	宮部第1層	一輕內牙音	4	鵒			g	uk	1	7	guk1			
19	1	宮	1	1	宮部第1層	一輕內牙音	4	告			g	uk	1	7	guk1			
20	1	宮	1	1	宮部第1層	一輕內牙音	4	梏			g	uk	1	7	guk1			
21	1	宮	1	1	宮部第1層	一輕內牙音	4	鵠			g	uk	1	7	guk1			
22	1	宮	1	1	宮部第1層	一輕內牙音	4	嚳			g	uk	1	7	guk1			
23	1	宮	1	1	宮部第1層	一輕內牙音	4	菊			g	uk	1	7	guk1			
24	1	宮	1	1	宮部第1層	一輕內牙音	4	掬			g	uk	1	7	guk1			
25	1	宮	1	1	宮部第1層	一輕內牙音	4	鞠			g	uk	1	7	guk1			
26	1	宮	1	1	宮部第1層	一輕內牙音	4	穀			g	uk	1	7	guk1			
27	1	宮	1	1	宮部第1層	一輕內牙音	4	旭			g	uk	1	7	guk1			
28	1	宮	1	1	宮部第1層	一輕內牙音	7	共			g	ung	6	6	gung6			
29	1	宮	1	1	宮部第1層	一輕內牙音	8	局			g	uk	6	9	guk6			
30	1	宮	1	1	宮部第1層	一輕內牙音	8	跼			g	uk	6	9	guk6			
31	1	宮	1	1	宮部第1層	一輕內牙音	8	觳			g	uk	6	9	guk6			
32	1	宮	1	2	宮部第1層	二重內牙音	2	孔		Y	k	ung	2	2	kung2			
33	1	宮	1	2	宮部第1層	二重內牙音	4	曲			k	uk	1	7	kuk1			
34	1	宮	1	2	宮部第1層	二重內牙音	5	窮			k	ung	4	4	kung4			
35	1	宮	1	2	宮部第1層	二重內牙音	5	穹			k	ung	4	4	kung4			
36	1	宮	1	2	宮部第1層	二重內牙音	5	跫			k	ung	4	4	kung4			
37	1	宮	1	2	宮部第1層	二重內牙音	5	蛩			k	ung	4	4	kung4			
38	1	宮	1	5	宮部第1層	五輕齒縫音	1	嵩		Y	s	ung	1	1	sung1			
39	1	宮	1	5	宮部第1層	五輕齒縫音	1	崧			s	ung	1	1	sung1			
40	1	宮	1	5	宮部第1層	五輕齒縫音	1	淞			s	ung	1	1	sung1			
41	1	宮	1	5	宮部第1層	五輕齒縫音	1	鬆			s	ung	1	1	sung1			
42	1	宮	1	5	宮部第1層	五輕齒縫音	1	從			s	ung	1	1	sung1			
43	1	宮	1	5	宮部第1層	五輕齒縫音	2	悚			s	ung	2	2	sung2			
44	1	宮	1	5	宮部第1層	五輕齒縫音	2	聳			s	ung	2	2	sung2			
45	1	宮	1	5	宮部第1層	五輕齒縫音	2	慫			s	ung	2	2	sung2			
46	1	宮	1	5	宮部第1層	五輕齒縫音	2	竦			s	ung	2	2	sung2			
47	1	宮	1	5	宮部第1層	五輕齒縫音	3	送			s	ung	3	3	sung3			
48	1	宮	1	5	宮部第1層	五輕齒縫音	3	餸			s	ung	3	3	sung3			
49	1	宮	1	5	宮部第1層	五輕齒縫音	3	宋			s	ung	3	3	sung3			
50	1	宮	1	5	宮部第1層	五輕齒縫音	4	宿			s	uk	1	7	suk1			
51	1	宮	1	5	宮部第1層	五輕齒縫音	4	夙			s	uk	1	7	suk1			
52	1	宮	1	5	宮部第1層	五輕齒縫音	4	踧			s	uk	1	7	suk1			
53	1	宮	1	5	宮部第1層	五輕齒縫音	4	蓿			s	uk	1	7	suk1			
54	1	宮	1	5	宮部第1層	五輕齒縫音	4	粟			s	uk	1	7	suk1			
55	1	宮	1	5	宮部第1層	五輕齒縫音	4	肅			s	uk	1	7	suk1			
56	1	宮	1	5	宮部第1層	五輕齒縫音	4	蹜			s	uk	1	7	suk1			
57	1	宮	1	6	宮部第1層	六半輕齒縫	1	宗		Y	z	ung	1	1	zung1			
